@timestamp,data.win.system.eventID,agent.name,data.win.eventdata.authenticationPackageName,data.win.system.processID,data.win.system.systemTime,data.win.eventdata.logonType,data.win.eventdata.logonProcessName,data.win.eventdata.targetUserName
2025-04-20 15:39:28.385,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:39:27.9892612Z,5,Advapi,SYSTEM
2025-04-20 15:38:13.435,4624,LAB3-10,Negotiate,1032,2025-04-20T10:39:29.1319590Z,5,Advapi,SYSTEM
2025-04-20 15:36:39.341,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:36:38.9525600Z,5,Advapi,SYSTEM
2025-04-20 15:36:32.637,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:36:32.2508386Z,5,Advapi,SYSTEM
2025-04-20 15:36:13.451,4624,LAB3-09,Negotiate,1072,2025-04-20T10:37:29.1590334Z,5,Advapi,SYSTEM
2025-04-20 15:35:33.444,4624,LAB3-10,Negotiate,1032,2025-04-20T10:36:49.1378296Z,5,Advapi,SYSTEM
2025-04-20 15:33:33.414,4624,LAB3-09,Negotiate,1072,2025-04-20T10:34:49.1246165Z,5,Advapi,SYSTEM
2025-04-20 15:32:53.433,4624,LAB3-10,Negotiate,1032,2025-04-20T10:34:09.1289737Z,5,Advapi,SYSTEM
2025-04-20 15:31:05.452,4624,LAB3-11,Negotiate,892,2025-04-20T10:32:21.2338732Z,5,Advapi,SYSTEM
2025-04-20 15:31:05.452,4624,LAB3-11,Negotiate,892,2025-04-20T10:32:20.6575029Z,5,Advapi,SYSTEM
2025-04-20 15:30:53.355,4624,LAB3-09,Negotiate,1072,2025-04-20T10:32:09.0682339Z,5,Advapi,SYSTEM
2025-04-20 15:30:13.407,4624,LAB3-10,Negotiate,1032,2025-04-20T10:31:29.1078118Z,5,Advapi,SYSTEM
2025-04-20 15:29:20.890,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:29:20.5067808Z,5,Advapi,SYSTEM
2025-04-20 15:27:33.344,4624,LAB3-09,Negotiate,1072,2025-04-20T10:28:49.0664783Z,5,Advapi,SYSTEM
2025-04-20 15:26:53.320,4624,LAB3-10,Negotiate,1032,2025-04-20T10:28:09.0227523Z,5,Advapi,SYSTEM
2025-04-20 15:26:43.677,4624,LAB3-10,Negotiate,1032,2025-04-20T10:27:59.3839731Z,5,Advapi,SYSTEM
2025-04-20 15:26:37.814,4624,LAB3-09,Negotiate,1072,2025-04-20T10:27:54.0677131Z,5,Advapi,SYSTEM
2025-04-20 15:26:37.809,4624,LAB3-09,Negotiate,1072,2025-04-20T10:27:53.5383122Z,5,Advapi,SYSTEM
2025-04-20 15:26:02.429,4624,LAB3-09,Negotiate,1072,2025-04-20T10:27:18.1645332Z,5,Advapi,SYSTEM
2025-04-20 15:24:13.277,4624,LAB3-09,Negotiate,1072,2025-04-20T10:25:29.0063988Z,5,Advapi,SYSTEM
2025-04-20 15:23:33.275,4624,LAB3-10,Negotiate,1032,2025-04-20T10:24:48.9683352Z,5,Advapi,SYSTEM
2025-04-20 15:22:29.392,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:22:28.9956447Z,2,User32,Project
2025-04-20 15:22:29.387,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:22:28.9956359Z,2,User32,Project
2025-04-20 15:22:24.989,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:22:24.6021097Z,5,Advapi,SYSTEM
2025-04-20 15:22:23.529,4624,LAB3-10,Negotiate,1032,2025-04-20T10:23:39.2362294Z,5,Advapi,SYSTEM
2025-04-20 15:22:21.378,4624,LAB3-09,Negotiate,1072,2025-04-20T10:23:37.1190550Z,5,Advapi,SYSTEM
2025-04-20 15:21:22.837,4624,LAB3-11,Negotiate,892,2025-04-20T10:22:37.7253438Z,5,Advapi,SYSTEM
2025-04-20 15:20:13.238,4624,LAB3-09,Negotiate,1072,2025-04-20T10:21:28.9690606Z,5,Advapi,SYSTEM
2025-04-20 15:19:33.227,4624,LAB3-10,Negotiate,1032,2025-04-20T10:20:48.9288933Z,5,Advapi,SYSTEM
2025-04-20 15:19:23.641,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:19:23.2614453Z,5,Advapi,SYSTEM
2025-04-20 15:19:22.581,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:19:22.4619818Z,5,Advapi,SYSTEM
2025-04-20 15:19:22.578,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:19:22.2534139Z,5,Advapi,SYSTEM
2025-04-20 15:19:22.576,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:19:22.1965699Z,5,Advapi,SYSTEM
2025-04-20 15:18:26.289,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:18:25.9956318Z,5,Advapi,SYSTEM
2025-04-20 15:18:26.281,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:18:25.9017434Z,5,Advapi,SYSTEM
2025-04-20 15:16:53.186,4624,LAB3-09,Negotiate,1072,2025-04-20T10:18:08.9279014Z,5,Advapi,SYSTEM
2025-04-20 15:16:13.151,4624,LAB3-10,Negotiate,1032,2025-04-20T10:17:28.8721431Z,5,Advapi,SYSTEM
2025-04-20 15:14:13.159,4624,LAB3-09,Negotiate,1072,2025-04-20T10:15:28.9050824Z,5,Advapi,SYSTEM
2025-04-20 15:13:33.180,4624,LAB3-10,Negotiate,1032,2025-04-20T10:14:48.8980546Z,5,Advapi,SYSTEM
2025-04-20 15:11:57.873,4624,LAB3-09,Negotiate,1072,2025-04-20T10:13:13.6369549Z,5,Advapi,SYSTEM
2025-04-20 15:11:57.869,4624,LAB3-09,Negotiate,1072,2025-04-20T10:13:13.6357261Z,5,Advapi,SYSTEM
2025-04-20 15:11:33.069,4624,LAB3-09,Negotiate,1072,2025-04-20T10:12:48.8361022Z,5,Advapi,SYSTEM
2025-04-20 15:11:20.028,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T10:11:20.0702096Z,5,Advapi,SYSTEM
2025-04-20 15:11:02.508,4624,LAB3-09,Negotiate,1072,2025-04-20T10:12:18.3367592Z,5,Advapi,SYSTEM
2025-04-20 15:11:02.507,4624,LAB3-09,Negotiate,1072,2025-04-20T10:12:18.2769946Z,5,Advapi,SYSTEM
2025-04-20 15:10:53.115,4624,LAB3-10,Negotiate,1032,2025-04-20T10:12:08.8477203Z,5,Advapi,SYSTEM
2025-04-20 15:09:56.654,4624,LAB3-11,Negotiate,892,2025-04-20T10:11:11.8357177Z,5,Advapi,SYSTEM
2025-04-20 15:09:43.297,4624,LAB3-11,Negotiate,892,2025-04-20T10:10:58.4805381Z,5,Advapi,SYSTEM
2025-04-20 15:08:53.031,4624,LAB3-09,Negotiate,1072,2025-04-20T10:10:08.7963288Z,5,Advapi,SYSTEM
2025-04-20 15:07:33.033,4624,LAB3-10,Negotiate,1032,2025-04-20T10:08:48.7878638Z,5,Advapi,SYSTEM
2025-04-20 15:06:51.324,4624,LAB3-11,Kerberos,892,2025-04-20T10:08:06.9803697Z,3,Kerberos,LAB3-11$
2025-04-20 15:06:51.314,4624,LAB3-11,Kerberos,892,2025-04-20T10:08:06.5665290Z,3,Kerberos,LAB3-11$
2025-04-20 15:05:32.986,4624,LAB3-09,Negotiate,1072,2025-04-20T10:06:48.7755174Z,5,Advapi,SYSTEM
2025-04-20 15:04:13.016,4624,LAB3-10,Negotiate,1032,2025-04-20T10:05:28.7914484Z,5,Advapi,SYSTEM
2025-04-20 15:00:52.961,4624,LAB3-09,Negotiate,1072,2025-04-20T10:02:08.7807466Z,5,Advapi,SYSTEM
2025-04-20 15:00:52.758,4624,LAB3-11,Negotiate,892,2025-04-20T10:02:08.0895767Z,5,Advapi,SYSTEM
2025-04-20 15:00:26.171,4624,LAB3-09,Negotiate,1072,2025-04-20T10:01:41.9990910Z,5,Advapi,SYSTEM
2025-04-20 15:00:26.170,4624,LAB3-09,Negotiate,1072,2025-04-20T10:01:41.9979196Z,5,Advapi,SYSTEM
2025-04-20 15:00:12.954,4624,LAB3-10,Negotiate,1032,2025-04-20T10:01:28.7318345Z,5,Advapi,SYSTEM
2025-04-20 14:58:16.651,4624,LAB3-09,Negotiate,1072,2025-04-20T09:59:32.4888557Z,5,Advapi,SYSTEM
2025-04-20 14:57:32.872,4624,LAB3-09,Negotiate,1072,2025-04-20T09:58:48.7153804Z,5,Advapi,SYSTEM
2025-04-20 14:56:53.848,4624,CP-AKT-002912,Negotiate,880,2025-04-20T09:58:10.0300223Z,5,Advapi,SYSTEM
2025-04-20 14:56:52.850,4624,LAB3-10,Negotiate,1032,2025-04-20T09:58:08.6316903Z,5,Advapi,SYSTEM
2025-04-20 14:54:52.889,4624,LAB3-09,Negotiate,1072,2025-04-20T09:56:08.7446231Z,5,Advapi,SYSTEM
2025-04-20 14:54:12.915,4624,LAB3-10,Negotiate,1032,2025-04-20T09:55:28.7022243Z,5,Advapi,SYSTEM
2025-04-20 14:52:12.805,4624,LAB3-09,Negotiate,1072,2025-04-20T09:53:28.6560597Z,5,Advapi,SYSTEM
2025-04-20 14:51:32.906,4624,LAB3-10,Negotiate,1032,2025-04-20T09:52:48.6987940Z,5,Advapi,SYSTEM
2025-04-20 14:50:21.774,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:50:21.4211849Z,5,Advapi,SYSTEM
2025-04-20 14:49:35.094,4624,CP-AKT-002912,Negotiate,880,2025-04-20T09:50:50.9178765Z,5,Advapi,SYSTEM
2025-04-20 14:49:32.849,4624,LAB3-09,Negotiate,1072,2025-04-20T09:50:48.7114845Z,5,Advapi,SYSTEM
2025-04-20 14:48:52.801,4624,LAB3-10,Negotiate,1032,2025-04-20T09:50:08.5992057Z,5,Advapi,SYSTEM
2025-04-20 14:48:49.111,4624,CP-AKT-002912,Negotiate,880,2025-04-20T09:50:04.9490094Z,5,Advapi,SYSTEM
2025-04-20 14:48:42.972,4624,CP-AKT-002912,Negotiate,880,2025-04-20T09:49:58.8032249Z,5,Advapi,SYSTEM
