"@timestamp","data.win.system.eventID","agent.name","data.win.eventdata.authenticationPackageName","data.win.system.processID","data.win.system.systemTime","data.win.eventdata.logonType","data.win.eventdata.logonProcessName","data.win.eventdata.targetUserName"
"Apr 17, 2025 @ 19:36:44.694",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:05.2795670Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.662",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:05.2792623Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.648",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:22.1481590Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.631",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:05.2782596Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.601",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:22.1475258Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.599",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:05.2779542Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.568",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:05.2763862Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.555",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:22.1456469Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.537",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:05.1846495Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.506",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:01.9696912Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.475",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:01.7002034Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.463",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:22.1452602Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.443",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:51:01.5573159Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.415",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:22.1431643Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.412",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:50:30.6454433Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.365",4625,"LAB3-10",Negotiate,1068,"2025-04-17T11:46:41.9028825Z",2,User32,"bseco23f.0057"
"Apr 17, 2025 @ 19:36:44.353",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:18.4345912Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.334",4625,"LAB3-10",Negotiate,1068,"2025-04-17T11:46:41.5466173Z",2,User32,"bseco23f.0057"
"Apr 17, 2025 @ 19:36:44.306",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:18.2472795Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.303",4625,"LAB3-10",Negotiate,1068,"2025-04-17T11:46:41.1443417Z",2,User32,"bseco23f.0057"
"Apr 17, 2025 @ 19:36:44.272",4625,"LAB3-10",Negotiate,1068,"2025-04-17T11:46:40.7846305Z",2,User32,"bseco23f.0057"
"Apr 17, 2025 @ 19:36:44.261",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:17.7386138Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.240",4625,"LAB3-10",Negotiate,1068,"2025-04-17T11:46:40.4347338Z",2,User32,"bseco23f.0057"
"Apr 17, 2025 @ 19:36:44.209",4625,"LAB3-10",Negotiate,1068,"2025-04-17T11:46:39.8527906Z",2,User32,"bseco23f.0057"
"Apr 17, 2025 @ 19:36:44.198",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:17.5285689Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.178",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:45:53.3331260Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.146",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:45:53.0618263Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.115",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:45:52.9125046Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:44.084",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:45:52.5212462Z",5,Advapi,"SQLTELEMETRY$SQLEXPRESS"
"Apr 17, 2025 @ 19:36:44.006",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:45:52.3274030Z",5,Advapi,SQLTELEMETRY
"Apr 17, 2025 @ 19:36:43.944",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:45:50.9260538Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.913",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:45:49.7474833Z",5,Advapi,MSSQLSERVER
"Apr 17, 2025 @ 19:36:43.850",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:45:48.3573167Z",5,Advapi,"MSSQL$SQLEXPRESS"
"Apr 17, 2025 @ 19:36:43.796",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:17.1739773Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.787",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:44:53.2769408Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.756",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:44:47.7955242Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.710",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:44:47.7675325Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.689",4624,"LAB3-18",Kerberos,928,"2025-04-17T12:33:17.1340071Z",3,Kerberos,"LAB3-18$"
"Apr 17, 2025 @ 19:36:43.678",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:44:47.7050596Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.647",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:44:34.3309252Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.616",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:44:17.5988598Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.585",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:44:17.5573124Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.565",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:15.3310373Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.538",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:44:17.5572888Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.518",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:15.3138824Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.473",4624,"LAB3-18",Kerberos,928,"2025-04-17T12:33:15.2491852Z",3,Kerberos,"LAB3-18$"
"Apr 17, 2025 @ 19:36:43.429",4624,"LAB3-10",Kerberos,1068,"2025-04-17T11:44:17.5251038Z",3,Kerberos,"LAB3-10$"
"Apr 17, 2025 @ 19:36:43.410",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:15.2457353Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.335",4624,"LAB3-10",Kerberos,1068,"2025-04-17T11:44:17.1059587Z",3,Kerberos,"LAB3-10$"
"Apr 17, 2025 @ 19:36:43.301",4624,"LAB3-18",Kerberos,928,"2025-04-17T12:33:15.1889799Z",3,Kerberos,"LAB3-18$"
"Apr 17, 2025 @ 19:36:43.272",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:49.0586020Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.210",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:48.3913986Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.208",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:15.1696793Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.163",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.3781560Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.132",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.2386123Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.098",4624,"LAB3-18",Kerberos,928,"2025-04-17T12:33:15.1187101Z",3,Kerberos,"LAB3-18$"
"Apr 17, 2025 @ 19:36:43.085",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.2286197Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.023",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.2065107Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:43.005",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:15.0969316Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.960",4624,"LAB3-10",Negotiate,1068,"2025-04-17T11:43:47.2043586Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.943",4624,"LAB3-18",Negotiate,928,"2025-04-17T12:33:15.0967857Z",5,Advapi,SYSTEM
